Datetime,Transaction,Description
9/19/18 4:31,Add/Drop,"SHAR dropped Titans D/ST, Ten D/ST to Waivers. SHAR added Browns D/ST, Cle D/ST from Waivers to Bench for $11."
9/19/18 4:31,Add/Drop,"GABE added Chris Ivory, Buf RB from Waivers to Bench. GABE dropped Tyler Eifert, Cin TE to Waivers for $11."
9/19/18 4:31,Add/Drop,"BULO dropped Jake Elliott, Phi K to Waivers. BULO added Dan Bailey, Min K from Waivers to Bench for $12."
9/19/18 4:31,Add/Drop,"EA added Sam Ficken, FA K from Waivers to Bench. EA dropped LeGarrette Blount, Det RB to Waivers for $16."
9/19/18 4:31,Add/Drop,"AMIT dropped Ravens D/ST, Bal D/ST to Waivers. AMIT added Bears D/ST, Chi D/ST from Waivers to Bench for $16."
9/19/18 4:31,Add/Drop,"GABE added Will Dissly, Sea TE from Waivers to Bench. GABE dropped Michael Gallup, Dal WR to Waivers for $30."
9/19/18 4:31,Add/Drop,"BULO dropped Terrelle Pryor, NYJ WR to Waivers. BULO added Marquise Goodwin, SF WR from Waivers to Bench for $163."
9/19/18 4:31,Add/Drop,"on added Giovani Bernard, Cin RB from Waivers to Bench. SLON dropped Texans D/ST, Hou D/ST to Waivers for $450."
9/19/18 4:31,Add/Drop,"BULO dropped Courtland Sutton, Den WR to Waivers. BULO added Ryan Fitzpatrick, TB QB from Waivers to Bench for $637."
9/15/18 20:03,Add/Drop,"AMIT added Dez Bryant, FA WR from Free Agency to Bench. AMIT dropped Marquise Goodwin, SF WR to Waivers."
